J0534+2200       83.633221     22.014461   0.033392  4.21e-13     3.000     14.00       56.77   -3.10    2.93  
J0534-6703       83.650708    -67.063556   1.817565  4.25e-13    25.000      0.08       94.70       *       *  
J0536-7543       84.128292    -75.732417   1.245856  5.65e-16    75.000     13.00       17.50       *    1.40  
J0538+2817       84.604405     28.285878   0.143158  3.67e-15     2.700      1.90       39.57       *    1.17  
J0540+3207       85.154650     32.127028   0.524271  4.48e-16    12.000      0.34       61.97       *       *  
J0540-6919       85.046675    -69.331714   0.050570  4.79e-13    18.000      0.02      146.50       *    -inf  
J0543+2329       85.790250     23.484722   0.245975  1.54e-14     6.200      9.00       77.70   -0.70    0.93  
J0543-6851       85.969625    -68.857028   0.708954  3.94e-15    58.000      0.22      131.00       *       *  
J0555-7056       88.757708    -70.946000   0.827838  5.96e-15    27.000      0.21       73.40       *       *  
J0601-0527       90.495759     -5.464044   0.395969  1.30e-15    11.600      2.50       80.54   -1.80    1.76  
J0610-2100       92.556648    -21.007759   0.003861  1.24e-20     0.200      0.40       60.67       *       *  
J0612+3721       93.202861     37.360377   0.297982  5.95e-17     5.300      4.00       27.15   -1.50    0.63  
J0613-0200       93.433232     -2.013118   0.003062  9.59e-21     0.462      2.30       38.78   -1.80    1.77  
J0613+3731       93.300625     37.527306   0.619198  3.24e-15    11.000      0.13       18.99   -1.80    2.00  
J0614+2229       93.571500     22.510000   0.334960  5.94e-14     6.900      2.20       96.91   -2.10    2.06  
J0621+0336       95.296754      3.612644   0.269954  7.24e-18     3.440      1.00       72.59       *       *  
J0621+1002       95.342143     10.044093   0.028854  4.73e-20     9.150      1.90       36.47   -1.90       *  
J0623+0340       95.944829      3.668556   0.613760  8.84e-17    18.780      0.27       54.00       *       *  
J0624-0424       96.083451     -4.414015   1.039076  8.30e-16    52.000      2.00       70.83   -0.40    0.72  
J0627+0649       96.973452      6.831703   0.346523  1.70e-15     6.330      1.89       86.60       *       *  
J0627+0706       96.934062      7.109250   0.475877  2.98e-14     3.730      2.89      138.15       *    0.58  
J0628+0909       97.150762      9.153861   1.241421  5.48e-16     8.000      0.06       88.30       *       *  
